CanID,Description,Bit,Variable,Function,Options,History,,,,,,,,,,,,,,,,,,,
16,Diagnostic Data,2,Equipment 2,Alde 3020,1 to 63,,,,,,,,,,,,,,,,,,,,
16,Diagnostic Data,3,Equipment 3,Whale water heater,1 to 15,,,,,,,,,,,,,,,,,,,,
16,Diagnostic Data,4,Equipment 4,Whale air heater,1 to 1,,,,,,,,,,,,,,,,,,,,
16,Diagnostic Data,5,Equipment 5,Truma Combi+,1,,,,,,,,,,,,,,,,,,,,
16,Diagnostic Data,6,Equipment 6,Dometic Fridge,"1 to 13, 50 to 53",,,,,,,,,,,,,,,,,,,,
16,Diagnostic Data,7,Equipment 7,Al-Ko ATC,3,,,,,,,,,,,,,,,,,,,,
17,Diagnostic Ack,0,Equipment 0,Dometic Aircon,TBA not implemented at present,,,,,,,,,,,,,,,,,,,,
17,Diagnostic Ack,1,Equipment 1,Sargent,,,,,,,,,,,,,,,,,,,,,
17,Diagnostic Ack,2,Equipment 2,Alde 3020,,,,,,,,,,,,,,,,,,,,,
17,Diagnostic Ack,3,Equipment 3,Whale water heater,,,,,,,,,,,,,,,,,,,,,
17,Diagnostic Ack,4,Equipment 4,Whale air heater,,,,,,,,,,,,,,,,,,,,,
17,Diagnostic Ack,5,Equipment 5,Truma Combi+,,,,,,,,,,,,,,,,,,,,,
17,Diagnostic Ack,6,Equipment 6,Dometic Fridge,,,,,,,,,,,,,,,,,,,,,
17,Diagnostic Ack,7,Equipment 7,Al-Ko ATC,,,,,,,,,,,,,,,,,,,,,
50,Status 1 from PSU,0,Pump,Pump on (1) / off (0),"1=on, 0=off",,,,,,,,,,,,,,,,,,,,
50,Status 1 from PSU,1,BattSel,Battery selected,"0 leisure, 1 vehicle",,,,,,,,,,,,,,,,,,,,
50,Status 1 from PSU,2,Lights,Lights on (1) / off (0),"1=on, 0=off",,,,,,,,,,,,,,,,,,,,
50,Status 1 from PSU,3,AwnLight,Awning light on (1) / off (0),"1=on, 0=off",,,,,,,,,,,,,,,,,,,,
50,Status 1 from PSU,4,Fill / Heaters,"Filling / Frost heaters (1=on, 0=off)","Tank filling is a caravan only feature, Tank heaters is a motorhome feature",,,,,,,,,,,,,,,,,,,,
50,Status 1 from PSU,5,EngineR,Engine running (1 / 0),"1=yes, 0=no",,,,,,,,,,,,,,,,,,,,
50,Status 1 from PSU,6,Mains,Mains on (1 / 0),"1=yes, 0=no",,,,,,,,,,,,,,,,,,,,
50,Status 1 from PSU,7,Power,Power on (1 / 0),"1=yes, 0=no",,,,,,,,,,,,,,,,,,,,
51,Status 2 from PSU,0,Dim1Status,Dim channel 1 on/off,"On / off status (1=on, 0=off)",,,,,,,,,,,,,,,,,,,,
51,Status 2 from PSU,1,Dim2Status,Dim channel 2 on/off,"On / off status (1=on, 0=off)",,,,,,,,,,,,,,,,,,,,
51,Status 2 from PSU,2,Dim1Level,Dimmer channel 1,Current Level %,,,,,,,,,,,,,,,,,,,,
51,Status 2 from PSU,3,Dim2Level,Dimmer channel 2,Current Level %,,,,,,,,,,,,,,,,,,,,
51,Status 2 from PSU,4,BTPair,Bluetooth pairing active,"1=yes, 0=no, 100=Delete All",,,,,,,,,,,,,,,,,,,,
51,Status 2 from PSU,5,"FillProgress, HeaterOverride","Tank filling is currently operating, Heater override off, 1, 2","Lower nibble (****0000) Filling 1=yes, 0=no
Upper nibble (0000****) Heating Override 0=off, 1=override1 (from 108), 2=override2 (from 109)",,,,,,,,,,,,,,,,,,,,
51,Status 2 from PSU,6,SolState,"Solar charge, which source is PSU solar charging","0 leisure, 1 vehicle",,,,,,,,,,,,,,,,,,,,
51,Status 2 from PSU,7,SolOn,Is solar charging (A>100mA),"1=yes, 0=no",,,,,,,,,,,,,,,,,,,,
52,Status 3 & Warnings from PSU,0,HeatingNow,Current heating state,"4 to 30, 4=OFF, then 5 - 30 deg C",,,,,,,,,,,,,,,,,,,,
52,Status 3 & Warnings from PSU,1,HotWaterNow,Current hot water state,"Alde 0=OFF, 1=Norml, 2=Boost, (Truma 0=OFF, 1=Eco, 2=Hot), (Whale 0=OFF, 1=ON)",,,,,,,,,,,,,,,,,,,,
52,Status 3 & Warnings from PSU,2,Fill for MH,"Motorhome Filling (1=on, 0=off)",Tank filling for a motorhome only,,,,,,,,,,,,,,,,,,,,
52,Status 3 & Warnings from PSU,3,HeatingStatus,Current heating state (as per ID 91),"4 to 30, 4=OFF, then 5 - 30 deg C",,,,,,,,,,,,,,,,,,,,
52,Status 3 & Warnings from PSU,4,HotWaterstatus,Current hot water state (as per ID 91),"Alde 0=OFF, 1=Normal, 2=Boost, (Truma 0=OFF, 1=Eco, 2=Hot), (Whale 0=OFF, 1=ON)",,,,,,,,,,,,,,,,,,,,
