CanID,Description,Bit,Variable,Function,Options,History,,,,,,,,,,,,,,,,,,,
138,Current Heating system target water temperature from PSU,7,Water7,0-3,"0=off, 1=40, 2=60, 3=Boost",,,,,,,,,,,,,,,,,,,,
140,Current Options / Settings bank 4 from PSU,0,FridgeMode,Fridge power mode inc on / off,"0=off, 1=Auto, 2=Gas, 3=12V, 4=230V",,,,,,,,,,,,,,,,,,,,
140,Current Options / Settings bank 4 from PSU,1,FridgeSetting,Fridge cooling setting (1 to 5),"1=Min, 2, 3=Mid, 4, 5=Max (0 to 4 on CAN Data)",,,,,,,,,,,,,,,,,,,,
140,Current Options / Settings bank 4 from PSU,2,FridgeFHeater,Fridge frame heater on / off,"0=off, 1=on",,,,,,,,,,,,,,,,,,,,
140,Current Options / Settings bank 4 from PSU,3,FridgeTemp,Fridge actual temperature,"0=too cold, 1 cold(--), 2 cold(-), 3=optimal, 4 warm(+), 5 warm(++), 6=too hot",,,,,,,,,,,,,,,,,,,,
140,Current Options / Settings bank 4 from PSU,4,FridgeManual,Fridge in Manual mode?,"0=no, 1=Manual Mode",,,,,,,,,,,,,,,,,,,,
140,Current Options / Settings bank 4 from PSU,5,FridgeDoorLB,,"16 bit number, 0 - 65535",,,,,,,,,,,,,,,,,,,,
140,Current Options / Settings bank 4 from PSU,6,FridgeDoorHB,,"16 bit number, 0 - 65535",,,,,,,,,,,,,,,,,,,,
140,Current Options / Settings bank 4 from PSU,7,FridgeError,Fridge error codes,"0=OK, 1 to 53 = errors",,,,,,,,,,,,,,,,,,,,
141,Current Options / Settings bank 5 from PSU,0,LightingMode,Lighting mode Normal / Last,"(Normal=0, Last=1)",,,,,,,,,,,,,,,,,,,,
141,Current Options / Settings bank 5 from PSU,1,EngineDetect,Method used to detect engine run,"0=Normal D+, 1=Delayed D+, 2=Delayed IGN, 3=Voltage Detect IGN, 4=Ci-Bus for LEVC only",,,,,,,,,,,,,,,,,,,,
141,Current Options / Settings bank 5 from PSU,2,LeisureBatteryType,"Battery type, used to adjust low warning level","0=Lead Acid, 1=Lead AGM, 2=Lithium , 3=Lithium+ (CAN), 4= Lithium+ (CAN) x2",,,,,,,,,,,,,,,,,,,,
141,Current Options / Settings bank 5 from PSU,3,SplitCharge,Enable split charge relay,"0=normal / use relay, 1=off / disable relay",,,,,,,,,,,,,,,,,,,,
141,Current Options / Settings bank 5 from PSU,4,Truma230VStatus,Truma 230V flag,Bit1=230V present,,,,,,,,,,,,,,,,,,,,
141,Current Options / Settings bank 5 from PSU,5,HeaterBusy,Alde and Truma heater busy flag,"0=Normal, 1=Busy",,,,,,,,,,,,,,,,,,,,
141,Current Options / Settings bank 5 from PSU,6,OverrideWater,Override water status,"Alde 0 off, 1=Normal, 2=Boost (Truma 0 off, 1=Eco, 2=Hot) (Whale 0 off, 1=On)",,,,,,,,,,,,,,,,,,,,
141,Current Options / Settings bank 5 from PSU,7,OverrideHeat,Override temperature status,"4=off, 5-30 deg C",,,,,,,,,,,,,,,,,,,,
142,Truma Aircon from PSU Setting bank 6,0,Mode,"Off, Fan, Cool, Heat, Auto","(0=off, 1=Fan, 2=Cool, 3=Heat, 4=Auto)",,,,,,,,,,,,,,,,,,,,
142,Truma Aircon from PSU Setting bank 7,1,Lighting,"Off, On, Dimmer sync","(0=off, 1=on, 2=dimmer)",,,,,,,,,,,,,,,,,,,,
142,Truma Aircon from PSU Setting bank 8,2,,,,,,,,,,,,,,,,,,,,,,,
142,Truma Aircon from PSU Setting bank 9,3,FanSpeed,"Low, Med, High, Night","0=Low, 1=Medium , 2=High , 3= Night",,,,,,,,,,,,,,,,,,,,
142,Truma Aircon from PSU Setting bank 10,4,TargetTemp,Required temperature,actual 16-31,,,,,,,,,,,,,,,,,,,,
142,Truma Aircon from PSU Setting bank 11,5,,,,,,,,,,,,,,,,,,,,,,,
142,Truma Aircon from PSU Setting bank 12,6,IxPowerOn,"Inverter power on / off state, feedback to the control panel","0=off, 1=on",added 18/6/26,,,,,,,,,,,,,,,,,,,
142,Truma Aircon from PSU Setting bank 13,7,HeaterOverride,HeaterOverride,"Heating Override 0=off, 1=override1 (from 108), 2=override2 (from 109)","Updated to reflect earlier changes. 0=off, 1=on from App, 2=ON (Dave 17-6-25)",,,,,,,,,,,,,,,,,,,
143,Usage data from PSU,0,PowerHours,Low byte,"Total hours with CP power on, max 7.6 years using 2 bytes. Save in E2 every hour.",,,,,,,,,,,,,,,,,,,,
143,Usage data from PSU,1,PowerHours,High byte,,,,,,,,,,,,,,,,,,,,,
143,Usage data from PSU,2,ActiveHours,Low byte,"Total hour with CP power on, max 7.6 years using 2 bytes. Save in E2 every hour.",,,,,,,,,,,,,,,,,,,,
143,Usage data from PSU,3,ActiveHours,High byte,,,,,,,,,,,,,,,,,,,,,
143,Usage data from PSU,4,EngineHours,Low byte,"Total hour with CP power on, max 7.6 years using 2 bytes Recorded and saved to E2 after every engine run stop.",,,,,,,,,,,,,,,,,,,,
143,Usage data from PSU,5,EngineHours,High byte,,,,,,,,,,,,,,,,,,,,,
143,Usage data from PSU,6,,,,,,,,,,,,,,,,,,,,,,,
143,Usage data from PSU,7,,,,,,,,,,,,,,,,,,,,,,,
145,Settings Bank 7 from PSU,0,BaseVehicle,Set base vehicle type for voltage cut-off,"0 – none,
 1 – Fiat,
 2 – Peugeot,
 3 – Ford,
 4 – Mercedes,
 5 – IVECO",,,,,,,,,,,,,,,,,,,,
145,Settings Bank 7 from PSU,1,LCDLogo,Control Panel Logo Selection,"0 = Sargent,
1 = AutoTrail,
2 = Auto-Sleepers,
3 = Swift,
4 = Camper King,
5 = Wellhouse,
6 = Bilbos,
7 = All Seasons,
8 = Spartan,
9 = Coachman,
10 = CUSTOM,",9/5/25 Logo list updated,,,,,,,,,,,,,,,,,,,
145,Settings Bank 7 from PSU,2,CompFridgeProtect,Compressor fridge battery protection routine,"0=Off,
 1=On",,,,,,,,,,,,,,,,,,,,
145,Settings Bank 7 from PSU,3,FreshTankDepth,Measured by the CAN water level sensor,In CM,,,,,,,,,,,,,,,,,,,,
145,Settings Bank 7 from PSU,4,SpecialAccessories,Used to cover special cases for odd / ad hoc devices,"0=none,
 1=12V Immersion Heater",,,,,,,,,,,,,,,,,,,,
145,Settings Bank 7 from PSU,5,WasteTankDepth,Measured by the CAN water level sensor,In CM,,,,,,,,,,,,,,,,,,,,
145,Settings Bank 7 from PSU,6,DimmingChannelsFitted,Which dimmer channels have been designed in,"0=None, 1=1, 2=2",,,,,,,,,,,,,,,,,,,,
145,Settings Bank 7 from PSU,7,GasControl,Used to enable / disable Gas solenoid control feature,"0=no gas control (default),
 1=Gas control fitted",,,,,,,,,,,,,,,,,,,,
146,Current Options / Settings bank 8 from PSU,0,Temp Sensor Location,Internal Temperature Sensor Location,"0 = PSU, 1 = Control Panel",,,,,,,,,,,,,,,,,,,,
146,Current Options / Settings bank 8 from PSU,1,StepFitted,Is Step Fitted,"0 = Not Fitted, 1 = Fitted",,,,,,,,,,,,,,,,,,,,
146,Current Options / Settings bank 8 from PSU,2,TankFiller,Is Tank Filler Fitted,"0 = Not Fitted, 1 = Fitted",,,,,,,,,,,,,,,,,,,,
146,Current Options / Settings bank 8 from PSU,3,DrainValves,Are Drain Valves Fitted,"0 = None, 1 = Fresh, 2 = Waste, 3 = Both",,,,,,,,,,,,,,,,,,,,
146,Current Options / Settings bank 8 from PSU,4,SolarCAN,Is CANBUS Solar Regulator Fitted,"0 = Not Fitted, 1 = Fitted, 2=No Solar Feature",,,,,,,,,,,,,,,,,,,,
146,Current Options / Settings bank 8 from PSU,5,ACDCCAN,Is CANBUS AC/DC Charger Fitted,"0 = Not Fitted, 1 = Fitted",,,,,,,,,,,,,,,,,,,,
146,Current Options / Settings bank 8 from PSU,6,DCDCCAN,Is CANBUS DC/DC Charger Fitted,"0 = Not Fitted, 1 = Fitted",,,,,,,,,,,,,,,,,,,,
146,Current Options / Settings bank 8 from PSU,7,WaterCAN,Is CANBUS Water Level Sensor Fitted,"0 = None, 1 = Fresh, 2 = Waste, 3 = Both",,,,,,,,,,,,,,,,,,,,
148,Webasto PWM Heater Controls (From PSU),0,webastoFitted,Which Webasto Heating Version is Fitted,"0 = Not Fitted,
 1 = Thermo Top MC100
 2 = Thermo Top EM10
 3 = Air Top EM10",,,,,,,,,,,,,,,,,,,,
148,Webasto PWM Heater Controls (From PSU),1,wpHeatMode,Heating on / off,"0 = Off
 1 = On",,,,,,,,,,,,,,,,,,,,
148,Webasto PWM Heater Controls (From PSU),2,"wpFanMode
 (Thermo Top only)",Set Fan Mode,"0 = Off
 1 = Manual
 2 = Auto",,,,,,,,,,,,,,,,,,,,
148,Webasto PWM Heater Controls (From PSU),3,wpTarget,Heating Target Temperature,5 – 30,,,,,,,,,,,,,,,,,,,,
148,Webasto PWM Heater Controls (From PSU),4,"wpSetSpeed
 (Thermo Top only)",Set Fan Speed,1 – 5,,,,,,,,,,,,,,,,,,,,
148,Webasto PWM Heater Controls (From PSU),5,"wpFanSpeed
 (Thermo Top only)",Actual fan speed,1 – 5,,,,,,,,,,,,,,,,,,,,
148,Webasto PWM Heater Controls (From PSU),6,"wpFault
 (Air Top only)",Fault code Air Top to CP,LED flash count (TBC),,,,,,,,,,,,,,,,,,,,
148,Webasto PWM Heater Controls (From PSU),7,wpWaterTemp,Water Temperature Status,"Thermo Top
 0 - Off
 1 – In progress
 2 – Up to working temp (50c)
 3 - Optimum showering temp
 Air Top
 0 - Off
 1 - Heating in progress",,,,,,,,,,,,,,,,,,,,
173,Change Options / Settings bank 3,0,Electric*,"Alde heater electric setting, Truma heater energy setting, Whale Water heater setting","Alde 0=Off, 1=1KW, 2=2KW, 3=3KW, 
Truma 0=GAS, 1=MIX1, 2=MIX2, 3=EL1, 4=EL2
Whale 0=OFF, 1=GAS, 2=EL1, 3=EL2, 4=MIX1, 5=MIX2
Webasto Mode 0=OFF, 1=Park Heating, 2=[not used], 3=Ventilation, 4=Heating Boost, 5=Heating Eco",,,,,,,,,,,,,,,,,,,,
173,Change Options / Settings bank 3,1,Gas*,"Alde heater gas setting, Truma <not used>, Whale Air heater setting","Alde 0=off, 1=on (use gas)
Truma <not used>
Whale 0=OFF, 1=FAN, 2=GAS, 3=EL1, 4=EL2, 5=EL3, 6=Night, 7=Frost (6&7 new for 2026)
Webasto Power 0 to 100 (0% to 100%)",,,,,,,,,,,,,,,,,,,,
173,Change Options / Settings bank 3,2,Heat,Ci-Bus Heating appliance selection,"0=None, 1=Alde, 2= Truma CP+, 3=Whale, 4=Eberspacher, 5 = Whale Ci-Bus",,,,,,,,,,,,,,,,,,,,
173,Change Options / Settings bank 3,3,Cool,Ci-Bus Aircon appliance selection,"0=None, 
1=Truma Aventa C, 
2=Dometic FreshJet 2200, 
3=Truma Aventa E
4=Truma Saphir CRC
5=Truma Saphir C",,,,,,,,,,,,,,,,,,,,
173,Change Options / Settings bank 3,4,Fridge,Ci-Bus Fridge appliance selection,"0=None, 1=Dometic1, 2=Dometic2, 3=Thetford",,,,,,,,,,,,,,,,,,,,
173,Change Options / Settings bank 3,5,ATC,Ci-Bus ATC appliance selection,"0=None, 1=Al-Ko1, 2=Al-Ko2",,,,,,,,,,,,,,,,,,,,
173,Change Options / Settings bank 3,6,Enroute,Enroute enable,"0=None, 1=Active",,,,,,,,,,,,,,,,,,,,
173,Change Options / Settings bank 3,7,Mod1,Radio module for 2019 caravans,"0=None
1=DAB & FM / 2 Speakers
2=DAB & FM / 4 Speakers
3=FM / 2 Speakers
4=FM / 4 Speakers",,,,,,,,,,,,,,,,,,,,
176,Heating system on times to PSU (Timer[0]),0,Day,Day setting,"0=all week, 1= Monday",,,,,,,,,,,,,,,,,,,,
176,Heating system on times to PSU (Timer[0]),1,Time1,0-95,"(15 min steps, 95 = 11:45pm)",,,,,,,,,,,,,,,,,,,,
176,Heating system on times to PSU (Timer[0]),2,Time2,0-95,"(15 min steps, 95 = 11:45)",,,,,,,,,,,,,,,,,,,,
176,Heating system on times to PSU (Timer[0]),3,Time3,0-95,"(15 min steps, 95 = 11:45)",,,,,,,,,,,,,,,,,,,,
176,Heating system on times to PSU (Timer[0]),4,Time4,0-95,"(15 min steps, 95 = 11:45)",,,,,,,,,,,,,,,,,,,,
176,Heating system on times to PSU (Timer[0]),5,Time5,0-95 (only 1-4 used now),"(15 min steps, 95 = 11:45)",,,,,,,,,,,,,,,,,,,,
176,Heating system on times to PSU (Timer[0]),6,Time6,0-95,"(15 min steps, 95 = 11:45)",,,,,,,,,,,,,,,,,,,,
176,Heating system on times to PSU (Timer[0]),7,Time7,0-95,"(15 min steps, 95 = 11:45)",,,,,,,,,,,,,,,,,,,,
177,Heating system target room temperature to PSU (Heating[0]),0,Day,Day setting,"0=all week, 1=Monday",,,,,,,,,,,,,,,,,,,,
177,Heating system target room temperature to PSU (Heating[0]),1,Heat1,4-30,"4=off, 5-30 deg C",,,,,,,,,,,,,,,,,,,,
177,Heating system target room temperature to PSU (Heating[0]),2,Heat2,4-30,"4=off, 5-30 deg C",,,,,,,,,,,,,,,,,,,,
177,Heating system target room temperature to PSU (Heating[0]),3,Heat3,4-30,"4=off, 5-30 deg C",,,,,,,,,,,,,,,,,,,,
177,Heating system target room temperature to PSU (Heating[0]),4,Heat4,4-30,"4=off, 5-30 deg C",,,,,,,,,,,,,,,,,,,,
177,Heating system target room temperature to PSU (Heating[0]),5,Heat5,4-30,"4=off, 5-30 deg C",,,,,,,,,,,,,,,,,,,,
177,Heating system target room temperature to PSU (Heating[0]),6,Heat6,4-30,"4=off, 5-30 deg C",,,,,,,,,,,,,,,,,,,,
177,Heating system target room temperature to PSU (Heating[0]),7,Heat7,4-30,"4=off, 5-30 deg C",,,,,,,,,,,,,,,,,,,,
178,Heating system target water temperature to PSU (HotWater[0]),0,Day,Day setting,"0=all week, 1=Monday",,,,,,,,,,,,,,,,,,,,
178,Heating system target water temperature to PSU (HotWater[0]),1,Water1,0-2,"Alde 0 off, 1=Normal, 2=Boost (Truma 0 off, 1=Eco, 2=Hot), (Whale 0 off, 1=On)",,,,,,,,,,,,,,,,,,,,
178,Heating system target water temperature to PSU (HotWater[0]),2,Water2,0-2,,,,,,,,,,,,,,,,,,,,,
178,Heating system target water temperature to PSU (HotWater[0]),3,Water3,0-2,,,,,,,,,,,,,,,,,,,,,
178,Heating system target water temperature to PSU (HotWater[0]),4,Water4,0-2,,,,,,,,,,,,,,,,,,,,,
178,Heating system target water temperature to PSU (HotWater[0]),5,Water5,0-3,"0=off, 1=40, 2=60, 3=Boost",,,,,,,,,,,,,,,,,,,,
178,Heating system target water temperature to PSU (HotWater[0]),6,Water6,0-3,"0=off, 1=40, 2=60, 3=Boost",,,,,,,,,,,,,,,,,,,,
178,Heating system target water temperature to PSU (HotWater[0]),7,Water7,0-3,"0=off, 1=40, 2=60, 3=Boost",,,,,,,,,,,,,,,,,,,,
179,Time & Date to PSU,0,Hour,,,,,,,,,,,,,,,,,,,,,,
179,Time & Date to PSU,1,Minute,,,,,,,,,,,,,,,,,,,,,,
179,Time & Date to PSU,2,Day,"Day 1=Monday, Day 7=Sunday",,,,,,,,,,,,,,,,,,,,,
179,Time & Date to PSU,3,Date,,,,,,,,,,,,,,,,,,,,,,
179,Time & Date to PSU,4,Month,,,,,,,,,,,,,,,,,,,,,,
179,Time & Date to PSU,5,Year,,,,,,,,,,,,,,,,,,,,,,
179,Time & Date to PSU,6,,,,,,,,,,,,,,,,,,,,,,,
179,Time & Date to PSU,7,,,,,,,,,,,,,,,,,,,,,,,
180,Settings bank 4,0,FridgeMode,Fridge power mode inc on / off,"0=off, 1=Auto, 2=Gas, 3=12V, 4=230V",,,,,,,,,,,,,,,,,,,,
180,Settings bank 4,1,FridgeSetting,Fridge cooling setting (1 to 5),"1=Min, 2, 3=Mid, 4, 5=Max",,,,,,,,,,,,,,,,,,,,
180,Settings bank 4,2,FridgeFHeater,Fridge frame heater on / off,"0=off, 1=on",,,,,,,,,,,,,,,,,,,,
180,Settings bank 4,3,,,,,,,,,,,,,,,,,,,,,,,
180,Settings bank 4,4,,,,,,,,,,,,,,,,,,,,,,,
180,Settings bank 4,5,,,,,,,,,,,,,,,,,,,,,,,
180,Settings bank 4,6,,,,,,,,,,,,,,,,,,,,,,,
180,Settings bank 4,7,,,,,,,,,,,,,,,,,,,,,,,
181,Change Options / Settings bank 5,0,LightingMode,Lighting mode Normal / Last,"(Normal=0, Last=1)",,,,,,,,,,,,,,,,,,,,
181,Change Options / Settings bank 5,1,EngineDetect,Method used to detect engine run,"0=Normal D+
 1=Delayed D+
 2=Delayed IGN
 3=Voltage Detect IGN",,,,,,,,,,,,,,,,,,,,
181,Change Options / Settings bank 5,2,LeisureBatteryType,"Battery type, used to adjust low warning level","0=Lead Acid
 1=AGM
 2=Lithium 
 3=Lithium+ (CAN)
 4=Lithium+ (CAN) x2",,,,,,,,,,,,,,,,,,,,
181,Change Options / Settings bank 5,3,SplitCharge,Enable split charge relay,"0=normal / use relay
 1=off / disable relay",,,,,,,,,,,,,,,,,,,,
181,Change Options / Settings bank 5,4,Not used,,,,,,,,,,,,,,,,,,,,,,
181,Change Options / Settings bank 5,5,Not used,,,,,,,,,,,,,,,,,,,,,,
181,Change Options / Settings bank 5,6,Not used,,,,,,,,,,,,,,,,,,,,,,
181,Change Options / Settings bank 5,7,Not used,,,,,,,,,,,,,,,,,,,,,,
182,Change Dometic Aircon Settings bank 6,0,Mode,"Off, Auto, Dry, Cool, Fan, iFeel, Heat","(0=off, 1=Auto, 2=Dry, 3=Cool, 4=Fan, 5=iFeel, 6=Heat)",,,,,,,,,,,,,,,,,,,,
182,Change Dometic Aircon Settings bank 7,1,Lighting,"Off, On, Dimmer sync","(0=off, 1=on, 2=dimmer)",,,,,,,,,,,,,,,,,,,,
182,Change Dometic Aircon Settings bank 8,2,,,,,,,,,,,,,,,,,,,,,,,
182,Change Dometic Aircon Settings bank 9,3,FanSpeed,"0,1,2,3 or 4","0=slow…. 3=fastest, 4=Auto",,,,,,,,,,,,,,,,,,,,
134,Current Options / Settings bank 1 from PSU,4,SolarTo,Solar charge to,"0=smart, 1=leisure, 2=vehicle",,,,,,,,,,,,,,,,,,,,
182,Change Dometic Aircon Settings bank 10,4,TargetTemp,Required temperature,actual 16-31,,,,,,,,,,,,,,,,,,,,
174,Change Options / Settings bank 1,4,Solar To,Solar charge to,"1=leisure, 2=vehicle, 0=smart",,,,,,,,,,,,,,,,,,,,
134,Current Options / Settings bank 1 from PSU,5,Charging,Charging mode,"0=smart, 1=normal, 2=smart 2, 3=smart 3",,,,,,,,,,,,,,,,,,,,
185,Change Options / Settings Bank 7,0,BaseVehicle,Used to adjust,"0 – none
 1 – Fiat 
 2 – Peugeot 
 3 – Ford 
 4 – Mercedes
 5 – IVECO",,,,,,,,,,,,,,,,,,,,
185,Change Options / Settings Bank 7,1,LCDLogo,Modular CP Logo Selection,"0 = Sargent
1 = AutoTrail
2 = Auto-Sleepers
3 = Swift
4 = Camper King
5 = Wellhouse
6 = Bilbos
7 = All Seasons
8 = Spartan (spare)
9 = Coachman
10 = CUSTOM",9/5/25 Logo list updated,,,,,,,,,,,,,,,,,,,
185,Change Options / Settings Bank 7,2,CompFridgeProtect,Compressor fridge battery protection routine,"0=Off 
 1=On",,,,,,,,,,,,,,,,,,,,
185,Change Options / Settings Bank 7,3,FreshTankDepth,Measured by the CAN water level sensor,In CM,,,,,,,,,,,,,,,,,,,,
185,Change Options / Settings Bank 7,4,SpecialAccessories,Used to cover special cases for odd / ad hoc devices,"0=none
 1=12V Immersion Heater",,,,,,,,,,,,,,,,,,,,
185,Change Options / Settings Bank 7,5,WasteTankDepth,Measured by the CAN water level sensor,In CM,,,,,,,,,,,,,,,,,,,,
185,Change Options / Settings Bank 7,6,DimmingChannelsFitted,Which dimmer channels have been designed in,"0 = None, 1 = 1, 2 = 2",,,,,,,,,,,,,,,,,,,,
185,Change Options / Settings Bank 7,7,GasControl,Used to enable / disable Gas solenoid control feature,"0=no gas control (default)
 1=Gas control fitted",,,,,,,,,,,,,,,,,,,,
186,Change Options / Settings bank 8,0,Temp Sensor Location,Internal Temperature Sensor Location,"0 = PSU, 1 = Control Panel",,,,,,,,,,,,,,,,,,,,
186,Change Options / Settings bank 8,1,StepFitted,Is Step Fitted,"0 = Not Fitted, 1 = Fitted",,,,,,,,,,,,,,,,,,,,
186,Change Options / Settings bank 8,2,TankFiller,Is Tank Filler Fitted,"0 = Not Fitted, 1 = Fitted",,,,,,,,,,,,,,,,,,,,
186,Change Options / Settings bank 8,3,DrainValves,Are Drain Valves Fitted,"0 = None, 1 = Fresh, 2 = Waste, 3 = Both",,,,,,,,,,,,,,,,,,,,
186,Change Options / Settings bank 8,4,SolarCAN,Is CANBUS Solar Regulator Fitted,"0 = Not Fitted, 1 = Fitted, 2=No Solar Feature",,,,,,,,,,,,,,,,,,,,
186,Change Options / Settings bank 8,5,ACDCCAN,Is CANBUS AC/DC Charger Fitted,"0 = Not Fitted, 1 = Fitted",,,,,,,,,,,,,,,,,,,,
186,Change Options / Settings bank 8,6,DCDCCAN,Is CANBUS DC/DC Charger Fitted,"0 = Not Fitted, 1 = Fitted",,,,,,,,,,,,,,,,,,,,
186,Change Options / Settings bank 8,7,WaterCAN,Is CANBUS Water Level Sensor Fitted,"0 = None, 1 = Fresh, 2 = Waste, 3 = Both",,,,,,,,,,,,,,,,,,,,
188,Webasto PWM Heater Controls (Change from CP),0,webastoFitted,Which Webasto Heating Version is Fitted,"0 = Not Fitted,
 1 = Thermo Top MC100/EC700
 2 = Thermo Top EM10
 3 = Air Top EM10",,,,,,,,,,,,,,,,,,,,
188,Webasto PWM Heater Controls (Change from CP),1,wpHeatMode,Heating on / off,"0 = Off
 1 = On",,,,,,,,,,,,,,,,,,,,
188,Webasto PWM Heater Controls (Change from CP),2,"wpFanMode
 (Thermo Top only)",Set Fan Mode,"0 = Off
 1 = Manual
 2 = Auto",,,,,,,,,,,,,,,,,,,,
188,Webasto PWM Heater Controls (Change from CP),3,wpTarget,Heating Target Temperature,5 – 30,,,,,,,,,,,,,,,,,,,,
188,Webasto PWM Heater Controls (Change from CP),4,"wpSetSpeed
 (Thermo Top only)",Set Fan Speed,1 – 5,,,,,,,,,,,,,,,,,,,,
188,Webasto PWM Heater Controls (Change from CP),5,Not used,,,,,,,,,,,,,,,,,,,,,,
188,Webasto PWM Heater Controls (Change from CP),6,InternalTemp,Internal temperature x2 from control panel,10 to 60 (= 5 to 30 deg C),,,,,,,,,,,,,,,,,,,,
188,Webasto PWM Heater Controls (Change from CP),7,Not used,,,,,,,,,,,,,,,,,,,,,,
216,LIN mirror of ID 36 Al-Ko ATC,0,ATCStatus,"Bits 0 to 2, ATC Status LED, Bits 3 & 4, Histogram, Bits 5 to 7, Actuator Status",,,,,,,,,,,,,,,,,,,,,
216,LIN mirror of ID 36 Al-Ko ATC,1,ATCVoltage,"VDC x 10,128=12.8V",,,,,,,,,,,,,,,,,,,,,
216,LIN mirror of ID 36 Al-Ko ATC,2,Not in use,,,,,,,,,,,,,,,,,,,,,,
216,LIN mirror of ID 36 Al-Ko ATC,3,Not in use,,,,,,,,,,,,,,,,,,,,,,
216,LIN mirror of ID 36 Al-Ko ATC,4,Not in use,,,,,,,,,,,,,,,,,,,,,,
216,LIN mirror of ID 36 Al-Ko ATC,5,Not in use,,,,,,,,,,,,,,,,,,,,,,
216,LIN mirror of ID 36 Al-Ko ATC,6,Not in use,,,,,,,,,,,,,,,,,,,,,,
216,LIN mirror of ID 36 Al-Ko ATC,7,Not in use,,,,,,,,,,,,,,,,,,,,,,
182,Change Dometic Aircon Settings bank 11,5,iFeelTemp,Actual temperature,actual 16-31,,,,,,,,,,,,,,,,,,,,
174,Change Options / Settings bank 1,5,Charging,Charging mode,"0=smart, 1=normal, 2=smart 2, 3=smart 3",,,,,,,,,,,,,,,,,,,,
134,Current Options / Settings bank 1 from PSU,6,LedPwm,"LED PWM (low, normal, high)","0=low, 1=normal, 2=high",,,,,,,,,,,,,,,,,,,,
182,Change Dometic Aircon Settings bank 12,6,,,,,,,,,,,,,,,,,,,,,,,
174,Change Options / Settings bank 1,6,LedPwm,"LED PWM (low, normal, high)","0=low, 1=normal, 2=high",,,,,,,,,,,,,,,,,,,,
134,Current Options / Settings bank 1 from PSU,7,VehicleType,Vehicle type setting,"0=Swift Caravan,
1=Swift Motorhome,
2=Auto-Trail EC970 Motorhome,
3=Bilbo Campers,
4=Auto-Trail EC940 Motorhome,
5=Auto-Sleepers Motorhome,
6=Camper King Motorhome,
7=Campervans,
8=Swift Caravan EC400+,
9=Swift Motorhome EC400+,
12=Hillside/All Seasons,
14=Coachman Motorhome,
20=Caravan EC900,
21= Motothome EC900,",9/5/25 Van list updated,,,,,,,,,,,,,,,,,,,
182,Change Dometic Aircon Settings bank 13,7,,,,,,,,,,,,,,,,,,,,,,,
174,Change Options / Settings bank 1,7,VehicleType,Vehicle type setting,"0=Swift Caravan,
1=Swift Motorhome,
2=Auto-Trail EC970 Motorhome,
3=Bilbo Campers,
4=Auto-Trail EC940 Motorhome,
5=Auto-Sleepers Motorhome,
6=Camper King Motorhome,
7=Campervans,
8=Swift Caravan EC400+,
9=Swift Motorhome EC400+,
12=Hillside/All Seasons,
14=Coachman Motorhome,
20=Caravan EC900,
21= Motothome EC900,",9/5/25 Van list updated,,,,,,,,,,,,,,,,,,,
175,Change Options / Settings bank 2,0,KeyBeep,Key beep on / off,"0=off, 1=on",,,,,,,,,,,,,,,,,,,,
175,Change Options / Settings bank 2,1,BacklightTime,Backlight on time,"0=permanent, 0-200 sec",,,,,,,,,,,,,,,,,,,,
175,Change Options / Settings bank 2,2,WAlarm,Water level alarms on / off,"0=off, 1=on",,,,,,,,,,,,,,,,,,,,
175,Change Options / Settings bank 2,3,Set,CP LED dim out time,"0=permanent, 0-200 sec",,,,,,,,,,,,,,,,,,,,
175,Change Options / Settings bank 2,4,THeaters,Are Tank Heaters fitted,"0=None, 1=Fitted",,,,,,,,,,,,,,,,,,,,
175,Change Options / Settings bank 2,5,TrigMode,Tracker trigger mode,"0=alarm, 1=engine",,,,,,,,,,,,,,,,,,,,
175,Change Options / Settings bank 2,6,HeatingMode,Heating control mode,"0=Manual, 1=Timer, 2=Remote, 9=OFF",,,,,,,,,,,,,,,,,,,,
175,Change Options / Settings bank 2,7,Tanks,Tanks enabled,"0=none, 1=fresh, 2=waste, 3=both",,,,,,,,,,,,,,,,,,,,
36,PSU to AC-DC Charger Request,0,Command,Command sent to Device (byte0),"00=Not Used,
01=Not Used,
02=BATTOUT_V,
03=BATTOUT_I,
04=Not Used,
05=POWER,
06=BULK_I,
07=BOOST_V,
08=FLOAT_V,
09=TAPER_I,
0A=BULK_TIMEOUT,
0B=BOOST_TIMEOUT,
0C=BATT_PROFILE,
0D=ERROR_STATUS,
0E=CHARGE_STATUS,
0F=FAN_MODE,
F0=GROUP1 (BATTOUT_V, BATTOUT_I, CHARGE_STATUS, ERROR_STATUS, POWER),
FF=ERROR",,,,,,,,,,,,,,,,,,,,
36,PSU to AC-DC Charger Request,1,Data1,Data sent to Device (byte1),,,,,,,,,,,,,,,,,,,,,
36,PSU to AC-DC Charger Request,2,Data2,Data sent to Device (byte2),,,,,,,,,,,,,,,,,,,,,
36,PSU to AC-DC Charger Request,3,Data3,Data sent to Device (byte3),,,,,,,,,,,,,,,,,,,,,
36,PSU to AC-DC Charger Request,4,Data4,Data sent to Device (byte4),,,,,,,,,,,,,,,,,,,,,
36,PSU to AC-DC Charger Request,5,Data5,Data sent to Device (byte5),,,,,,,,,,,,,,,,,,,,,
36,PSU to AC-DC Charger Request,6,Data6,Data sent to Device (byte6),,,,,,,,,,,,,,,,,,,,,
